To retrieve the time series for the selected ground motions, follow the instructions below. 
 
Go to the following link: ngawest2.berkeley.edu 
 
Select "No Scaling" and click submit. Enter RSN values (separated by commas) provided below under "Record Characteristics", and click Search Records. Download time series at the bottom of the resulting page by clicking "Download Time Series Records". 
 
Record Number 	 Record Sequence Number 	 Scale Factor 	 File Name Dir. 1 	 File Name Dir. 2 	 URL 1 	 URL 2 
139 	 3266 	   1.82 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
140 	 458 	   1.80 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
141 	 951 	   3.45 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
142 	 4866 	   1.40 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
143 	 960 	   0.81 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
144 	 1144 	   3.86 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
145 	 96 	   1.44 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
146 	 4852 	   3.75 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
147 	 3313 	   3.42 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
148 	 2114 	   0.39 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
149 	 179 	   0.69 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
150 	 172 	   3.57 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
151 	 1507 	   0.57 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
152 	 4208 	   1.01 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
153 	 1235 	   2.27 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
154 	 776 	   0.58 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
155 	 1104 	   0.77 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
156 	 729 	   0.97 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
157 	 149 	   1.63 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
158 	 360 	   2.77 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
159 	 392 	   3.65 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
160 	 5478 	   1.25 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
161 	 1290 	   3.25 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
162 	 1262 	   1.25 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
163 	 328 	   3.40 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
164 	 1100 	   1.69 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
165 	 2627 	   1.04 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
166 	 8062 	   2.54 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
167 	 1048 	   0.68 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
168 	 3979 	   3.10 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
169 	 1494 	   0.98 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
170 	 233 	   3.01 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
171 	 3682 	   1.70 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
172 	 358 	   2.50 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
173 	 723 	   0.29 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
174 	 1189 	   2.94 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
175 	 1283 	   4.73 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
176 	 544 	   2.94 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
177 	 4116 	   0.93 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
178 	 880 	   3.42 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
179 	 161 	   1.29 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
180 	 753 	   0.83 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
181 	 5802 	   3.97 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
182 	 517 	   1.30 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
183 	 4855 	   1.84 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
184 	 77 	   0.32 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
185 	 799 	   1.73 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
186 	 212 	   2.39 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
187 	 4858 	   2.04 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
